name,thumbnail,total_view,total_episode,avg_view,link,score,score_count,score_rate,first_launched_date,author,director,agent,animator,types,intro
轉生成貓咪的大叔,https://p2.bahamut.com.tw/B/ACG/c/79/0000138279.JPG,139000.0,6,23166.666666666668,https://ani.gamer.com.tw/animeRef.php?sn=113632,4.8,1151.0,0.008280575539568345,2024-10-07,Yajima,りお×川越崇弘,回歸線娛樂,Studio Eight Colors,"['喜劇', '悠閒', '泡麵番', '闔家觀賞']","全人類都喵喵叫！？榮獲「下一部人氣漫畫大賞2023網路漫畫類第二名」殊榮的話題性社群漫畫，終於電視動畫化了！一個普通的上班族大叔，某天突然轉生了。無法說人話在路邊不知所措，就在此時大叔工作的公司社長正好路過。以性格嚴肅聞名的社長，在見到貓咪（其實是大叔）的第一眼，態度大轉變…！？為了不穿幫努力當好當滿一隻貓的大叔，與給貓咪取名「小潘」溺愛著牠的社長，兩人超現實又幸福的生活開始了！"
燃油車鬥魂 第二季,https://p2.bahamut.com.tw/B/ACG/c/88/0000136988.JPG,581000.0,6,96833.33333333333,https://ani.gamer.com.tw/animeRef.php?sn=113670,4.9,3303.0,0.005685025817555938,2024-10-07,重野秀一,中智仁,Ani-One,FelixFilm,"['動作', '運動', '競技']","來自歐洲的挑戰者──「片桐夏向」；司徒加特的刺客──「米哈伊爾・貝肯鮑爾」。覺醒的天才澤渡光輝。因這些新世代的抬頭，讓MFG的第二戰迎來了新的局面。在雨中的起跑，讓比賽陷入一片混亂。所有人在火山灰沉積造成的煙霧中纏鬥。以及在被稱為蘆之湖的惡魔的濃霧的倒數聲中。駕駛著86的夏向，以令人驚艷的技術和駕駛著著高性能超跑的對手們對決，令MFG的粉絲們為其狂亂不己。為了面對MFG的第三戰、「The Peninsula真鶴」，夏向決定再次提升86的性能。以及過去「公路最速」的其中一人──高橋啟介的徒弟「諸星瀨名」也決定參戰，並將夏向視為勁敵。夏向駕駛著加裝渦輪提升戰鬥力的86，在預賽展表出壓倒性的實"
被逐出隊伍的治癒師，其實是最強,https://p2.bahamut.com.tw/B/ACG/c/70/0000137570.JPG,642000.0,6,107000.0,https://ani.gamer.com.tw/animeRef.php?sn=113664,2.5,4845.0,0.007546728971962617,2024-10-06,影茸、鳴海みわ,大西景介,Ani-One,Studio Elle,"['冒險', '奇幻', '魔法']",「大哥哥，你要和我組隊嗎？」某天，被笑稱「無能」治癒師的拉斯特遭到所屬的小隊踢出，卻沒想到馬上就有一位活力充沛的武鬥家少女——納瑠賽娜主動向他搭話。其實他們並不是初次相遇，而是久別重逢。如今，屬於兩人的冒險即將拉開序幕。
青之驅魔師 雪之盡頭篇,https://p2.bahamut.com.tw/B/ACG/c/07/0000138507.JPG,159000.0,6,26500.0,https://ani.gamer.com.tw/animeRef.php?sn=113663,4.8,779.0,0.00489937106918239,2024-10-06,加藤和惠,吉田大輔,木棉花,Studio VOLN,"['冒險', '奇幻', '校園', '靈異神怪']","繼「島根啓明結社篇」後，這次將講述與命運對峙的霧隱修羅的故事，揭露正十字騎士團之黑暗面的「雪之盡頭篇」；以及將探討奧村燐、雪男出生的秘密――「青色之夜」之真相的「終夜篇」。故事終於要揭開「青之驅魔師」的核心――。"
女僕冥土小姐,https://p2.bahamut.com.tw/B/ACG/c/68/0000137068.JPG,387000.0,6,64500.0,https://ani.gamer.com.tw/animeRef.php?sn=113673,4.9,4067.0,0.010509043927648579,2024-10-06,しょたん,渡邊步,Ani-One,FelixFilm,"['喜劇', '戀愛', '溫馨', '悠閒']","某天，突然有一名女僕上門工作——。高中生「橫谷人好」的家前突然現身一名來訪者。擁有清廉秀麗的黑髮並使用舉止禮貌為特徵的女僕。開頭第一句話就是「希望你能雇用我」。她之前的職業是名殺手、特技是暗殺、對家務卻是完全新手的冒失鬼，由於命運的相遇因而展開和女僕在同一屋簷下的共同生活……？漸漸的，不曉得何謂感情的她，內心逐漸被打動了起來……"
噗妮露是可愛史萊姆,https://p2.bahamut.com.tw/B/ACG/c/38/0000136938.JPG,177000.0,6,29500.0,https://ani.gamer.com.tw/animeRef.php?sn=113669,4.8,1804.0,0.010192090395480226,2024-10-06,まえだくん,伊部勇志,Ani-One,TOHO animation STUDIO,"['校園', '喜劇', '戀愛', '悠閒']","這是關於噗妮露和初中生小太郎不再是朋友的故事……。河合井小太郎是一名國中二年級的男生，小學時他創造的史萊姆獲得了生命。從那時起，他和名為噗妮露的史萊姆作為「朋友」和睦共處在一起。然而，隨著七年的時間過去，噗妮露竟變成了超絕美少女！面對噗妮露可愛的樣貌、隨心所欲的言行，小太郎每天都感到心跳加速。究竟，噗妮露和小太郎能繼續作為「朋友」快樂地相處下去嗎！？"
妻子變成小學生。,https://p2.bahamut.com.tw/B/ACG/c/66/0000130966.JPG,270000.0,7,38571.42857142857,https://ani.gamer.com.tw/animeRef.php?sn=113666,4.9,3284.0,0.012162962962962962,2024-10-06,村田椰融,阿部記之,Ani-One,St.Signpost,"['溫馨', '悠閒', '親情', '感人']",十年前，「新島圭介」痛失因故身亡的愛妻而一蹶不振。但就在某天，一名自稱是新島妻子的小學生出現在他的面前，其言行舉止令新島相信她就是自己死去的妻子。曾經一度失去動力的人生，因為她的出現而再次轉動。深愛妻子的新島巴不得將她的事昭告天下，但是做為常識人的妻子怎麼可能讓他這麼做……。如奇蹟般地重聚，一段重度愛妻人士與小學生妻子的究極純愛物語從此展開！
Thunderbolt Fantasy 東離劍遊紀 4,https://p2.bahamut.com.tw/B/ACG/c/16/0000131316.JPG,93000.0,6,15500.0,https://ani.gamer.com.tw/animeRef.php?sn=113658,4.9,1052.0,0.011311827956989247,2024-10-05,Thunderbolt Fantasy Project,黃強華、王嘉祥、鄭保品、王泉修,霹靂,霹靂國際多媒體,"['動作', '冒險', '奇幻']","消失在黑暗裡的吟唱……殤不患藉由萬世神伏的威力，讓刑亥的野心隨著無界閣一同埋葬入地底深處。然而，自崩落土石中逃脫出的一行人裡，卻少了紅衣吟遊詩人的身影。紅衣吟遊詩人──浪巫謠為了向母親的仇人、同時亦是自己生父的阿爾貝盧法復仇，進入了魔界。魔界裡，魔宮貴族間出現了內鬥的跡象，就連禍世螟蝗也派出麾下法師前往魔界探索。 在局勢混沌的魔界中，一場陰謀算計正等待著滿心復仇的浪巫謠！"
偶像大師 閃耀色彩 第二季,https://p2.bahamut.com.tw/B/ACG/c/56/0000138156.JPG,19000.0,6,3166.6666666666665,https://ani.gamer.com.tw/animeRef.php?sn=113653,4.2,226.0,0.011894736842105263,2024-10-05,萬代南夢宮娛樂,萬久、岩田健志,Aniplus,Polygon Pictures,"['青春', '勵志', '偶像', '音樂']","新的團體加入了283藝能經紀公司：以完美演出為目標的「Straylight」、以4位兒時玩伴情誼所結成的「noctchill」。兩個團體所產生的漣漪，成為了照亮彼此道路的光芒。「羽翼」們所邁出的嶄新一步，決定她們振翅飛翔目的地的會是？"
去參加聯誼，卻發現完全沒有女生在場,https://p2.bahamut.com.tw/B/ACG/c/01/0000135901.JPG,378000.0,6,63000.0,https://ani.gamer.com.tw/animeRef.php?sn=113654,4.9,4007.0,0.0106005291005291,2024-10-05,蒼川娜娜,古賀一臣,Ani-One,葦Production,"['喜劇', '戀愛', '青春']",大學生「常盤」受到修同一門課的「蘇芳」同學的邀約，邀請他找兩個好友一起進行三對三聯誼。三個男生滿懷期待地到了居酒屋，結果看到座位上只有三個帥哥在等著，一個女生都沒有。後來才得知，對方竟然是在男裝酒吧打工而身穿男裝的女大學生蘇芳、藤、琥珀。在女方靠著帥氣的言行舉止，反讓男方小鹿亂撞，進一步相談甚歡，交往配成三對。令人混亂不已的男裝女生vs一般大學男學生，三組搞笑1vs1的戀愛喜劇，就此展開！
