name,thumbnail,total_view,total_episode,avg_view,link,score,score_count,score_rate,first_launched_date,author,director,agent,animator,types,intro
位於戀愛光譜極端的我們,https://p2.bahamut.com.tw/B/ACG/c/06/0000129306.JPG,1012000.0,12,84333.33333333333,https://ani.gamer.com.tw/animeRef.php?sn=113368,4.5,6314.0,0.006239130434782609,2023-10-06,長岡マキ子,大庭秀昭,木棉花,ENGI,"['校園', '戀愛']",加島龍斗是個不起眼的邊緣人，當然16年來都沒交過女朋友。而龍斗憧憬的對象，白河月愛（露娜），是全學年最正的美少女辣妹，戀愛經驗也很豐富。龍斗本來覺得能夠在遠處欣賞她就足夠了……兩人卻意外開始交往了！？戀愛經驗零的邊緣人和經驗豐富的辣妹，居住的世界完全不同的兩人所編織出的「儘管大相逕庭、卻純真又寫實、令人心跳不已的」極致青春戀愛故事，就此開始！
哥布林殺手 II,https://p2.bahamut.com.tw/B/ACG/c/82/0000115682.JPG,1992000.0,12,166000.0,https://ani.gamer.com.tw/animeRef.php?sn=113367,4.8,7576.0,0.0038032128514056225,2023-10-06,蝸牛くも,尾崎隆晴、高田美里,木棉花,LIDENFILMS,"['冒險', '奇幻', '血腥暴力', '黑暗']",「我不會拯救世界。只管殺哥布林。」在邊境公會中，據說有一個光靠討伐哥布林就爬上銀等（位列第三階）的罕見存在…。有一位女神官在成為冒險者後，第一次組隊便陷入危機之中。而拯救她的人，正是人稱哥布林殺手的男人。
盾之勇者成名錄 Season 3,https://p2.bahamut.com.tw/B/ACG/c/25/0000107525.JPG,1399000.0,12,116583.33333333333,https://ani.gamer.com.tw/animeRef.php?sn=113406,4.6,5155.0,0.003684774839170836,2023-10-06,アネコユサギ,垪和等,Ani-One,Kinema Citrus,"['冒險', '奇幻', '異世界', '魔法']",成功擊敗靈龜，並與幕後元兇京徹底做下了斷後，勇者尚文一行人平安回到了梅洛馬格。一行人儲備戰力，準備應對即將復活的新四聖「鳳凰」的戰鬥，但由於靈龜事件中的失敗，三位勇者失蹤了，而尚文所持有的領地也面臨戰鬥力不足的問題。尚文決定尋找散落在各處的前露羅洛納村居民，並前往塞魯托布爾——謠傳將居民當作奴隸販賣的地方，他希望這能成為救助的起點，並與拉芙塔莉雅和菲洛一起參加地下賭博競技場。在尋求拯救的亞人、心碎的三位勇者以及操縱幕後的魔女麥茵之間，各種不同的陰謀和動機交錯在一起。在這個情勢下，尚文將能否堅定地走上他所相信的道路呢？
地下忍者,https://p2.bahamut.com.tw/B/ACG/c/40/0000130540.JPG,602000.0,12,50166.666666666664,https://ani.gamer.com.tw/animeRef.php?sn=113397,4.8,2731.0,0.004536544850498339,2023-10-06,花澤健吾,桑原智,智寶,手塚Production,"['動作', '喜劇']",在日本，存在著世界上最龐大的暗殺組織——。曾經盛極一時的日本忍者，因為戰後GHQ強迫解散組織後消失無蹤。然而事實上，忍者至今依舊暗中存在，人數據說多達20萬人。而且，部分「精銳」忍者在國家級的對抗中負責執行秘密任務，表現得相當活躍。不過，另一方面，下級忍者卻是經常拿不到工作，其中之一的忍者「雲隱九郎」也一樣，過著宛如尼特族般的生活……。
絆之 Allele 第二季,https://p2.bahamut.com.tw/B/ACG/c/50/0000133650.JPG,25000.0,12,2083.3333333333335,https://ani.gamer.com.tw/animeRef.php?sn=113363,3.7,271.0,0.01084,2023-10-05,,駒屋健一郎,提恩傳媒,WIT STUDIO×SIGNAL.MD,"['校園', '偶像', '音樂']",Miracle所在的PathTLive，所有成員都順利進入了Virtual Grid Award的ADEN種子賽正賽。但還無暇為此高興，下一項考驗就已經來到她們眼前。這次學園安排的新課題是組合對戰！PathTLive成員們的關係也產生了裂痕！？與全新的強敵們相遇和同伴分別，Miracle和夥伴們的友情動盪不安，本次考驗會為Miracle她們帶來什麼呢？PathTLive的命運又將何去何從！？
聖魔大戰 BIKKURI-MEN,https://p2.bahamut.com.tw/B/ACG/c/72/0000131472.JPG,32000.0,12,2666.6666666666665,https://ani.gamer.com.tw/animeRef.php?sn=113384,2.9,367.0,0.01146875,2023-10-05,樂天,月見里智弘,Ani-One,Lesprit,"['奇幻', '喜劇']","對於熱愛仙魔大戰貼紙的人來說，貼紙的價值絕對不容小覷。在運輸的過程中，他們像運載現金一樣被謹慎對待，一年前甚至還發生了被稱為「三億張仙魔大戰貼紙」的竊盜案。在做送貨上門兼職的高中生「大和」，有一天被捲入了圍繞貼紙的戰鬥中。聖鳳凰店長的便利商店「Angel Mart」因為容易出現稀有貼紙而聞名，不僅是仙魔大戰貼紙粉絲，就連對面的「Devil Store」便利商店的人們也在虎視眈眈地盯著。戰友分明，曾經的夥伴，命運的戰鬥即將開始！！《聖魔大戰 BIKKURI-MEN》最早是在1977年由樂天推出的巧克力點心系列，因為有附贈貼紙而受到小朋友們喜愛。該作並在1985年推出描繪惡魔與天使戰鬥的《悪"
16bit 的感動 ANOTHER LAYER,https://p2.bahamut.com.tw/B/ACG/c/60/0000129460.JPG,736000.0,13,56615.38461538462,https://ani.gamer.com.tw/animeRef.php?sn=113364,4.8,4850.0,0.006589673913043478,2023-10-05,若木民喜、みつみ美里、甘露樹,佐久間貴史,木棉花,st.SILVER,"['職場', '時間穿越']",「秋里樂葉」是熱愛著美少女和美少女遊戲的插畫家，她夢想著成為超人氣插畫家而在美少女遊戲製作公司奮鬥著，但現實卻不順遂。因為在社交遊戲全盛時期的現代，公司轉變了方針。樂葉只能擔任插畫家助手，過著每天繪製路人角色背影的日子。在某一天，因為意外的原因從遊戲店的店長手上拿到了過去的知名美少女遊戲。懷念著美少女遊戲的黃金時代，打開了《同級生》的外盒後，樂葉突然被耀眼的光芒包圍，回過神來她已經穿越時空回到了過去。樂葉回到的過去是1992年！這時代正是美少女遊戲的黎明期！來到了名為Alcohol Soft的公司工作的樂葉，心懷美少女、繪製美少女，她能創造出美少女嗎！？獻上對美少女遊戲絕對的熱愛，這名少女
賽馬娘 Pretty Derby 第三季,https://p2.bahamut.com.tw/B/ACG/c/77/0000124277.JPG,494000.0,13,38000.0,https://ani.gamer.com.tw/animeRef.php?sn=113396,4.7,3798.0,0.007688259109311741,2023-10-04,Cygames,及川啟,Ani-One,Studio KAI,"['勵志', '運動', '競技', '偶像']",這裡是從異世界傳承下光輝的姓名與競跑能力的「馬娘」，自久以來與人類共存著的世界的故事。凝望著同一片風景，「北部玄駒」開始追尋著仰慕的背影。背負著一族的期待，「里見光鑽」開始挑戰G1的悲願。從來都是二位一體的兩人，邁向新的夢想......。
我想成為影之強者！第二季,https://p2.bahamut.com.tw/B/ACG/c/38/0000130538.JPG,4320000.0,12,360000.0,https://ani.gamer.com.tw/animeRef.php?sn=113395,4.9,24156.0,0.005591666666666667,2023-10-04,逢澤大介,中西和也,Ani-One,Nexus,"['動作', '冒險', '奇幻', '異世界', '魔法', '血腥暴力']",在克萊兒的提議之下，席德來到了「無法都市」。在那裡，他參加了討伐沉眠的吸血鬼始祖「噬血女王」的任務。接著，出現在他眼前的，是自稱「最資深的吸血鬼獵人」的神祕美少女瑪莉。除了「無法都市」的三大勢力：「暴君」加格諾、「妖狐」雪女、「吸血鬼」克里姆森以外，「闇影庭園」也為了尋求「始祖血脈」和「惡魔附體者」的關聯而參戰，讓戰場變得一片混亂。同時，「傳說的始祖」覺醒的時刻也跟著逼近......！
撿走被人悔婚的千金，教會她壞壞的幸福生活,https://p2.bahamut.com.tw/B/ACG/c/40/0000126840.JPG,876000.0,12,73000.0,https://ani.gamer.com.tw/animeRef.php?sn=113362,4.8,5114.0,0.005837899543378995,2023-10-04,ふか田さめたろう,淺見隆司,鶴月文化,ZERO-G×Digital Network Animation,"['奇幻', '魔法', '戀愛']",住在森林深處，討厭與人往來的魔法師亞倫，不但被稱作「魔王」，周遭的人也都對他感到多有畏懼。過著隱士生活的他，某天撿到了倒在路邊的千金夏綠蒂。她被冠上莫須有的罪名，更遭到悔婚，從祖國逃到這裡來。聽聞這些原委的亞倫，回想起自己曾被深信是夥伴的成員背叛的苦澀經驗。聽到她年僅十七歲，一直過著被人壓榨的生活，亞倫下定決心——要讓她住在自己家裡，灌輸她各種壞壞卻幸福的事情！不論之前過得再不幸，今後就來教會她幸福！那麼首先，要把她養得白白胖胖的......
戽斗星球,https://p2.bahamut.com.tw/B/ACG/c/95/0000135795.JPG,157000.0,5,31400.0,https://ani.gamer.com.tw/animeRef.php?sn=113405,4.7,1889.0,0.012031847133757961,2023-10-04,森昭太,青池良輔,智寶,東映動畫,"['喜劇', '闔家觀賞', '泡麵番']",在「MOGMOG星球」上，每隻動物都透過進化自己的下巴，克服了滅絕的威脅。他們咀嚼骨頭、咀嚼樹木、咀嚼岩石。「MOGMOG星球」可能就是不遠的未來地球。
巨獸防衛企業 BULLBUSTER,https://p2.bahamut.com.tw/B/ACG/c/75/0000128675.JPG,116000.0,12,9666.666666666666,https://ani.gamer.com.tw/animeRef.php?sn=113394,4.3,587.0,0.005060344827586207,2023-10-04,中尾浩之、P.I.C.S.,青木弘安,Ani-One,NUT,"['科幻', '機甲', '職場']",《Bullbuster》是由窪之內英策搭配中尾浩之、高島雄哉、大久保淳二以及出雲重機展開的企劃，本企劃是以動畫、真人化為目標，於COMITIA、Comiket販售各式周邊為企劃起頭。其故事是以專門擊潰巨獸的萬年負債小公司「波止工業」工作的年輕技術人員「沖野鐵郎」為主角，描述他與他開發的機器人「Bullbuster」所展開的故事，沖野得在消滅巨獸的「理想」和成本的「現實」的夾縫中艱難生存。
某大叔的 VRMMO 活動記,https://p2.bahamut.com.tw/B/ACG/c/12/0000130212.JPG,915000.0,12,76250.0,https://ani.gamer.com.tw/animeRef.php?sn=113360,3.3,4031.0,0.004405464480874317,2023-10-03,椎名ほわほわ,中澤勇一,木棉花,MAHO FILM,"['冒險', '奇幻']",喜歡玩遊戲的普通小職員「田中大地」，以「大地」之名登入官方自豪自由度超級破表的新型VRMMO「重啟自由之地Online」的世界。在可以全力打怪，也可以隨心所欲探險的世界裡，大地選擇鑽研公認最不好用的技能，將其發揮到淋漓盡致的低調玩法！例如專門製作耗時費工的藥水、研發無用但美味至極的料理、有時親手打造不得了的武器享受狩獵的樂趣等等――。平凡無奇的中年大叔，在VRMMO的奇幻世界裡，今天依舊只走自己的路！
聖劍學院的魔劍使,https://p2.bahamut.com.tw/B/ACG/c/43/0000120243.JPG,1598000.0,12,133166.66666666666,https://ani.gamer.com.tw/animeRef.php?sn=113391,4.5,6311.0,0.0039493116395494365,2023-10-03,志瑞祐,森田宏幸,智寶,Passione,"['冒險', '奇幻', '魔法', '校園']",最強的魔王雷歐尼斯為了迎接註定到來的決戰，封印了自身的存在。然而跨越千年時光甦醒的他，竟然變回了十歲少年的模樣！「為什麼！？」「你怎麼被關在這裡？放心吧，姊姊會保護你的。」雷歐尼斯受到隸屬於「聖劍學院」的美少女黎榭莉亞保護，並對劇變的世界感到驚愕。未知的敵人「虛獸」、「第零七戰術都市」、以武器作為外形的異能之力──「聖劍」，儘管這些陌生的詞語讓他相當困惑，他依然進入了「聖劍學院」就讀。在魔術消失的未來世界中，由最強魔王與美少女們交織而成、聖劍與魔劍的校園刀劍奇幻故事揭開序幕！
我的推是壞人大小姐。,https://p2.bahamut.com.tw/B/ACG/c/91/0000129191.JPG,790000.0,12,65833.33333333333,https://ani.gamer.com.tw/animeRef.php?sn=113358,4.8,4797.0,0.006072151898734177,2023-10-03,Inori,大庭秀昭,Aniplus,Platinum Vision,"['異世界', '魔法', '校園', '喜劇', '戀愛', 'GL']",「雖然我是女性向遊戲的女主角，但我不能喜歡壞人大小姐嗎？」在黑心企業工作的社畜OL大橋零轉生成了女性向遊戲「Revolution」世界中的「零·緹拉」。轉生之後的她想做的事——居然不是和攻略對象的王子們談戀愛，而是一心溺愛身為壞人大小姐的克蕾雅·弗朗索瓦吽！？在前世把這款遊戲玩到極為熟練的零，是否能以知識和愛情成功地與克蕾雅打好關係呢？
SHY 靦腆英雄,https://p2.bahamut.com.tw/B/ACG/c/29/0000127829.JPG,250000.0,12,20833.333333333332,https://ani.gamer.com.tw/animeRef.php?sn=113359,4.7,1703.0,0.006812,2023-10-03,實樹不氣味,安藤正臣,木棉花,8bit,"['超能力', '喜劇', '職場']",21世紀中，戰爭在地球上消失無蹤——由於各個國家突然出現擁有超越人類力量，祈求世界和平的「英雄」，世界產生了巨大的變化。為了維繫嶄新的和平局勢，各個國家的英雄們在全世界大展身手，其中負責維持日本和平的是——超怕在人前露臉的靦腆少女英雄「SHY」。雖然她不善於面對眾人、社會的眼光，但還是在苦惱之中努力解救需要幫助的人！
聖女魔力無所不能 第二季,https://p2.bahamut.com.tw/B/ACG/c/04/0000123304.JPG,564000.0,12,47000.0,https://ani.gamer.com.tw/animeRef.php?sn=113361,4.7,2447.0,0.004338652482269504,2023-10-03,橘由華,井畑翔太,木棉花,diomedéa,"['異世界', '魔法', '戀愛']",聖是二十幾歲的上班族，某天她突然被召喚到異世界當「聖女」。她活用原本就喜歡植物的嗜好，開始在藥用植物研究所工作。她是個生性認真的工作狂，再加上「聖女能量」的加持，接二連三做出效果增加五成的藥水。後來她在魔物討伐中，施展威力強大的淨化魔法，評價因此水漲船高！她的「聖女」身分受到斯蘭塔尼亞王國正式承認，身為王國的救世主，眾人都非常尊敬她。在一旁守護並扶持她的人，是研究所的約翰與裘德、宮廷魔導師團的尤利，還有彼此情投意合，卻尚未開始交往的「冰霜騎士」艾爾柏特。即使成了王國最重要的人物，聖依舊埋頭研究。她和艾爾柏特的感情將會慢慢升溫，戀愛也會有新的發展——！？
B-PROJECT 〜熱烈＊Love Call〜,https://p2.bahamut.com.tw/B/ACG/c/07/0000135307.JPG,36000.0,12,3000.0,https://ani.gamer.com.tw/animeRef.php?sn=113392,3.8,240.0,0.006666666666666667,2023-10-03,志倉千代丸,武田睦海,智寶,旭Production,"['偶像', '音樂']","故事簡介　　在偶像團體「B-PROJECT」成功舉辦了第二次JAPAN巨蛋演唱會後，知名唱片公司「ガンダーラミュージック」迎來了變化。　　以A&R身分工作的主角・澄空つばさ，除了「キタコレ」「THRIVE」「MooNs」「KiLLER KiNG」外，也受命負責新加入企劃的「ウルトラズ」。　　因「B-PROJECT」和「ウルトラズ」相遇而產生的新的火花，刺激且熱烈的""Love call""即將響起！"
Paradox Live THE ANIMATION,https://p2.bahamut.com.tw/B/ACG/c/79/0000128479.JPG,223000.0,12,18583.333333333332,https://ani.gamer.com.tw/animeRef.php?sn=113393,4.7,1426.0,0.006394618834080717,2023-10-03,Paradox Live,安藤尚也,Ani-One,PINE JAM,"['競技', '音樂']",近期的未來，在HIPHOP文化呈現飽和的狀態下，全新的反動勢力「幻影Live」誕生了。Rapper們戴上含有被稱為「幻影金屬」的特殊金屬飾品，與自身的DNA產生化學反應後創造出連結感情的幻影，帶來華麗的舞台表演讓無數年輕人為之狂熱。但在其幕後，卻也必須承受「心理創傷幻影」這一令人痛苦的副作用。在這當中，以各自不同的音樂類型擁有超人氣自豪的4組團體「BAE」、「The Cat's Whiskers」、「cozmez」、「惡漢奴等」收到了傳奇俱樂部「CLUB Paradox」所發出的神祕比賽『Paradox Live』的邀請函。為了證明自己的音樂才是No.1，14人決定接下戰帖展開對
米奇與達利,https://p2.bahamut.com.tw/B/ACG/c/96/0000131296.JPG,1135000.0,13,87307.69230769231,https://ani.gamer.com.tw/animeRef.php?sn=113357,4.9,6139.0,0.005408810572687225,2023-10-02,佐野菜見,萬久,Aniplus,GEEKTOYS×CompTown,"['喜劇', '推理', '懸疑']",在1990年2月的神戶市北區，有座以美國郊區為原型打造出來的新城──奧里岡村，在這座富裕居民們生活的鎮上出現了「一個人」，他是名少年。那個少年是沒有子嗣的園山家收養的孩子，名為秘鳥。園山夫妻很快就受到俊美聰穎的少年秘鳥所吸引。但是，其實那「一個人」，實際上是兩個人！？兩名雙胞胎的少年分別叫做「米奇」與「達利」，他們兩人隱藏自己的真實身分，融入了這村莊。他們為什麼要假扮成秘鳥一個人？那背後所隱藏的天大的祕密與驚人的目的又會是什麼？
鴨乃橋論的禁忌推理,https://p2.bahamut.com.tw/B/ACG/c/79/0000129279.JPG,1142000.0,19,60105.26315789474,https://ani.gamer.com.tw/animeRef.php?sn=113389,4.8,4147.0,0.0036313485113835375,2023-10-02,天野明,井畑翔太,Ani-One,diomedéa,"['推理', '懸疑']",「終生將這份稀有天賦奉獻給偵探業，是我的責任。」過去，偵探培訓學校BLUE，曾有一位號稱無論什麼謎題都解得開的天才，本人也宣告希望終生將稀有的天賦奉獻給偵探業的男人「鴨乃橋論」。但是，他作為偵探卻有個致命的缺陷：破案率100％，犯人逮捕率卻是0％！？有苦難言的偵探鴨乃橋論將與單純呆傻的搜查一課刑警一色都都丸聯手，華麗地解開所有的謎題。
暴食狂戰士,https://p2.bahamut.com.tw/B/ACG/c/51/0000128251.JPG,1654000.0,12,137833.33333333334,https://ani.gamer.com.tw/animeRef.php?sn=113383,4.4,5415.0,0.003273881499395405,2023-10-01,一色一凜,柳澤哲也,木棉花,A.C.G.T,"['冒險', '奇幻']","在技能優劣的優劣決定一切的世界，被輕蔑為無用之才的少年「斐特」被迫過著最底層的生活。斐特持有的技能「暴食」是個只會餓肚子，完全派不上用場的能力。被處在這個世界最頂端的聖騎士「族布雷立庫」家盯上的他，每天都過著動不動就被暴力相向，並被推去做雜事的日子。唯一的救贖就是儘管同為聖騎士，然而非但不會瞧不起斐特，還願意與他相處的存在──「羅琪希·哈特」。然而偶然間與她一起解決掉闖入城裡的盜賊後，世界為之一變。在奪取敵人性命的瞬間，暴食技能發動，對方的力量就這麼流到自己身上。沒錯，斐特持有的技能「暴食」是個可以奪取殺害對象的技能及能力，十分驚人的力量。得到戰鬥能力的斐特，遇上持有同為大罪之名的技能，"
凹凸魔女的親子日常,https://p2.bahamut.com.tw/B/ACG/c/79/0000129879.JPG,541000.0,12,45083.333333333336,https://ani.gamer.com.tw/animeRef.php?sn=113401,4.9,3872.0,0.007157116451016636,2023-10-01,ピロヤ,高田真宏,Ani-One,A-Real,"['奇幻', '魔法', '喜劇', '溫馨', '親情']",某天，獨居在森林裡的魔女「艾麗莎」撿到了人類嬰兒。雖然艾麗莎不知該如何是好，仍替嬰兒取名為「薇奧拉」，並決定扶養她。十六年後，薇奧拉不只變成超級戀母的女孩，連成長幅度都超乎預料……等等，長太大隻了啦～！！嬌小可愛的魔女媽媽，與高挑豐滿的人類女兒！顛覆外表印象的魔女親子檔的溫馨搞笑喜劇登場！
狩龍人拉格納,https://p2.bahamut.com.tw/B/ACG/c/90/0000123490.JPG,2582000.0,25,103280.0,https://ani.gamer.com.tw/animeRef.php?sn=113378,4.7,6936.0,0.002686289697908598,2023-10-01,小林大樹,高橋賢,木棉花,SILVER LINK.,"['冒險', '奇幻']","「獵龍人」──這是揮舞銀劍、狩獵龍族以換取報酬的職業。技術拙劣的獵龍人少年「拉格納」與龍族討伐數無人能及的天才少女「蕾歐妮卡」搭檔，每天致力於狩獵龍族。拉格納只有一個心願──「就算無法變強也無所謂，希望能永遠待在蕾歐身邊。」然而他的想法，卻因為擁有前所未見之強大力量的「上位龍」的襲擊而化為泡影。在大敵當前之際，拉格納的腦海中浮現起這幾天一直令他苦惱不已的惡夢──那是雖然獲得了最強大的力量，卻早已沒有任何必須守護的事物，活在充滿絕望與孤獨的未來中的自己的身影。未來的自己交給他的東西是什麼……？現在的自己又該選擇什麼樣的道路……？然後，拉格納將與充滿謎團的新搭檔「緋紅」一起為迴避絕望的未來踏"
競速 OVERTAKE!,https://p2.bahamut.com.tw/B/ACG/c/34/0000129734.JPG,264000.0,12,22000.0,https://ani.gamer.com.tw/animeRef.php?sn=113402,4.9,2046.0,0.00775,2023-10-01,KADOKAWA×TROYCA,青木英,Ani-One,TROYCA,"['勵志', '運動', '競技']","由KADOKAWA與TROYCA共同打造的原創作品，帶大家一覽賽車的世界！以一級方程式賽車「F1」為目標的年輕賽車手們，在被譽為「賽車甲子園」的入門級比賽「F4」中互相競爭。一名低迷的攝影師「真賀孝哉」採訪接觸到了高中生F4賽車手「淺雛悠」。因為悠的真誠懇切與努力不懈地模樣，讓孝哉感受到內心許久未有的跳躍與悸動，於是他決定支持悠，實現他的夢想。性格與年齡完全不同的悠與孝哉的人生，不知何時開始交織了起來......。"
香格里拉・開拓異境～糞作獵手挑戰神作～,https://p2.bahamut.com.tw/B/ACG/c/04/0000125604.JPG,7716000.0,26,296769.23076923075,https://ani.gamer.com.tw/animeRef.php?sn=113380,4.9,21739.0,0.0028173924313115604,2023-10-01,硬梨菜、不二涼介,窪岡俊之,木棉花,C2C,"['動作', '冒險', '奇幻']","「你是為了什麼而玩遊戲的？」如果世界上的遊戲有100款神作，那麼也就有存在著1000款糞作。這是深愛糞作也為糞作所鍾愛的男人「陽務樂郎」，挑戰與糞作完全極端的神作「香格里拉·開拓異境」的故事。原著網路小說累計超過5億點閱，未出小說單行本便直接在「週刊少年Magazine」進行漫畫連載，並在這擁有60年以上歷史的漫畫雜誌達成史上首次的讀者問卷四連冠！以每個人都有過的遊戲體驗描寫全新感覺的奇幻故事，讓沉浸在過去回憶的大人們&活在先進科技中的年輕人一同體驗踏上新冒險的興奮心情。一位糞作獵手挑戰神作，最棒的「遊戲×奇幻」冒險譚，開幕！！"
隊長小翼 Season2 青少年篇,https://p2.bahamut.com.tw/B/ACG/c/13/0000131113.JPG,328000.0,39,8410.25641025641,https://ani.gamer.com.tw/animeRef.php?sn=113381,4.1,465.0,0.0014176829268292683,2023-10-01,高橋陽一,小野勝巳,木棉花,Studio KAI,"['運動', '競技', '闔家觀賞']",全國國中生足球大賽在南葛國中與東邦學園並列冠軍下落幕。大賽結束後，為了即將在法國巴黎舉辦的國際少年足球大賽，進行了日本代表隊的選手選拔。除了立誓活躍於世界舞台的小翼，還加上日向與若島津，以及旅居海外的若林、岬組成了最強陣容。另一方面，世界上各個實力在日本之上的足球大國也紛紛採取行動。德國的施耐德、法國的皮埃爾、阿根廷的迪亞斯、義大利的赫南德茲等新崛起的勁敵們，也聚集巴黎爭奪世界第一的王座。賭上夢想與驕傲的激鬥從現在開始了！！
燃油車鬥魂,https://p2.bahamut.com.tw/B/ACG/c/27/0000121227.JPG,1774000.0,12,147833.33333333334,https://ani.gamer.com.tw/animeRef.php?sn=113387,4.9,6572.0,0.0037046223224351748,2023-09-30,重野秀一,中智仁,Ani-One,FelixFilm,"['動作', '運動', '競技']",在《頭文字D》賽事結束後，到了202X年，已經是電動車當道的世界，停止生產原本使用汽油為燃料的汽車，自動駕駛技術也變得十分普及。在這樣的環境下，便誕生了一項公路汽車比賽。在日本舉辦的公路賽事「MFG」透過網路的傳播而大受歡迎，保時捷、法拉利...等等，以速度為主的品牌汽車都陸續參與到了這項比賽中。來自英國知名賽車學校畢業的19歲主角「片桐夏向」，為了個人某個目的也來到日本參加了該場賽事。他將會帶給這場賽事什麼樣的亮點？至於他與女主角戀之間的感情，又將會擦出什麼樣的火花呢？
烈焰先鋒 救國的橘衣消防員,https://p2.bahamut.com.tw/B/ACG/c/53/0000129253.JPG,264000.0,25,10560.0,https://ani.gamer.com.tw/animeRef.php?sn=113371,4.4,1206.0,0.0045681818181818185,2023-09-30,曾田正人、富山玖呂,村田雅彥,Ani-One,Brain's Base,"['勵志', '職場']","《烈焰先鋒 救國的橘衣消防員》是《火線先鋒大吾》的續作，本作由另一位新的「大吾」擔任主角。擁有卓越的才能與不可或缺的覺悟的「十朱大吾」；為了突破自身之壁而奮鬥的「斧田駿」；以少數女性救助隊員為目標的「中村雪」。他們以及其他伙伴通過了「特別技術研修」，正式成為消防隊成員，不管是自然災害或是人為災害等，將努力地前往拯救傷患與受困的民眾。加入救國，改變日本命運的三名年輕人相遇時，面對即將襲來的各種困難，年輕消防員們的靈魂熱血故事就此拉開序幕！"
葬送的芙莉蓮,https://p2.bahamut.com.tw/B/ACG/c/37/0000127137.JPG,13392000.0,28,478285.71428571426,https://ani.gamer.com.tw/animeRef.php?sn=113366,5.0,52036.0,0.0038856033452807645,2023-09-29,山田鐘人、阿部司,齋藤圭一郎,木棉花,MADHOUSE,"['冒險', '奇幻', '魔法', '勵志', '溫馨', '感人']","魔法使芙莉蓮與勇者欣梅爾、海塔、艾冉等人一同經歷了10年的冒險，最終打倒魔王，替世界帶來了和平。芙莉蓮身為活了千年以上的精靈，她與欣梅爾等人約好再次相會後，便獨自踏上旅程。在那之後過了50年，芙莉蓮造訪欣梅爾的所在地，但她與50年前長得一模一樣，相較之下欣梅爾已經老去，早已時日無多。之後，芙莉蓮親眼見到過世的欣梅爾，深深體悟自己至今都沒有去「了解他人」。對此感到懊悔的她，決定「為了了解他人」而踏上旅程，並開始思考時間與生命的意義。與各種人的邂逅，以及各式各樣的遭遇，正在這趟旅程的前方等著她──"
大小姐和看門犬,https://p2.bahamut.com.tw/B/ACG/c/17/0000127917.JPG,325000.0,13,25000.0,https://ani.gamer.com.tw/animeRef.php?sn=113386,4.1,1728.0,0.005316923076923077,2023-09-29,初春,高本宣弘,Ani-One,project No.9,['戀愛'],從小失去父母便在身爲黑道組長的爺爺家長大的大小姐瀬名垣一咲，並且由像哥哥一般存在的若葉圭也的年輕頭領照顧著大小姐。如今大小姐升入高中，目標是展開新生活和戀愛！沒想到已經年過 20 歲的哥哥竟然一起來上高中了？！充當保鏢盡職盡責，並為大小姐阻擋一切危險事物。
想當冒險者前往都市的女兒成為 S 級,https://p2.bahamut.com.tw/B/ACG/c/19/0000133419.JPG,1110000.0,13,85384.61538461539,https://ani.gamer.com.tw/animeRef.php?sn=113365,4.6,3845.0,0.003463963963963964,2023-09-28,門司柿家,森健、村田尚樹,鶴月文化,颱風Graphics,"['冒險', '奇幻', '親情']",在故鄉村子過著和平生活的退休冒險者貝爾格里夫，某天在附近的森林撿到一名被遺棄的女嬰，就將她當成自己的女兒，取名「安潔琳」且獨自撫養長大，並送她前往大都市。光陰似箭——貝爾收到久違的女兒即將回鄉的消息，但卻遲遲不見女兒回來，擔心與日俱增。另一方面，每天為討伐高等級魔物而奮鬥、已成為公會最高級別「Ｓ級」的安潔琳，雖然想要回到最愛的父親身邊，但是由於陸續出現的魔物們的存在，回老家的路一直被阻擋……。「我到底什麼時候才能見到爸爸啊……！？」親子之間的互動和友情，扣人心弦的戰鬥場面，溫馨的異世界幻想開幕！！
光之美少女 All Stars F,https://p2.bahamut.com.tw/B/ACG/c/94/0000130694.JPG,7073.0,1,7073.0,https://ani.gamer.com.tw/animeRef.php?sn=113601,4.9,237.0,0.0335077053584052,2023-09-15,東堂いづみ,田中裕太,木棉花,東映動畫,"['冒險', '奇幻', '魔法']",《光之美少女》系列 20 周年紀念最新劇場版作品《電影光之美少女 All Stars F（映画プリキュアオールスターズF）》將集結自 2004 年系列首部作品《光之美少女》至目前播映中的《伸向天空！光之美少女》中登場的歷代 77 位主要角色。故事描述光之美少女們在一個只有光之美少女存在的不可思議的世界中醒來，在和其他光之美少女們交流的同時，也一起尋找回到原本世界的方法。
